Id,Protocolo,Tipo Análisis,Fecha,Estado,Propietario,Profesional,Genera PDF,Descargar TXT
406006,3220264,Calidad de Leche,15-07-2026,En Elaboración,,Divita Marina,,http://190.105.213.89/administracion/descargatxt.php?Id=03220264
406005,3219264,Calidad de Leche,15-07-2026,En Elaboración,,Divita Marina,,http://190.105.213.89/administracion/descargatxt.php?Id=03219264
405823,3166264,Calidad de Leche,13-07-2026,En Elaboración,,Divita Marina,,http://190.105.213.89/administracion/descargatxt.php?Id=03166264
405172,2991264,Microbiológico Agua,01-07-2026,En Elaboración,,Divita Marina,,http://190.105.213.89/administracion/descargatxt.php?Id=02991264
405169,2988264,Calidad de Leche,01-07-2026,Disponible,Asociación Rural de Chivilcoy,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=405169,http://190.105.213.89/administracion/descargatxt.php?Id=02988264
405161,2982264,Calidad de Leche,01-07-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=405161,http://190.105.213.89/administracion/descargatxt.php?Id=02982264
404710,2855264,Calidad de Leche,24-06-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=404710,http://190.105.213.89/administracion/descargatxt.php?Id=02855264
404071,2715264,Calidad de Leche,17-06-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=404071,http://190.105.213.89/administracion/descargatxt.php?Id=02715264
403721,2624264,Calidad de Leche,10-06-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=403721,http://190.105.213.89/administracion/descargatxt.php?Id=02624264
403427,2557264,Calidad de Leche,05-06-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=403427,http://190.105.213.89/administracion/descargatxt.php?Id=02557264
403426,2556264,Calidad de Leche,05-06-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=403426,http://190.105.213.89/administracion/descargatxt.php?Id=02556264
402901,2397264,Calidad de Leche,27-05-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=402901,http://190.105.213.89/administracion/descargatxt.php?Id=02397264
402515,2298264,Calidad de Leche,20-05-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=402515,http://190.105.213.89/administracion/descargatxt.php?Id=02298264
402514,2297264,Calidad de Leche,20-05-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=402514,http://190.105.213.89/administracion/descargatxt.php?Id=02297264
402046,2185264,Calidad de Leche,13-05-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=402046,http://190.105.213.89/administracion/descargatxt.php?Id=02185264
401576,2075264,Calidad de Leche,06-05-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=401576,http://190.105.213.89/administracion/descargatxt.php?Id=02075264
401255,1978264,Calidad de Leche,29-04-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=401255,http://190.105.213.89/administracion/descargatxt.php?Id=01978264
401254,1977264,Calidad de Leche,29-04-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=401254,http://190.105.213.89/administracion/descargatxt.php?Id=01977264
401057,1926264,Calidad de Leche,27-04-2026,Disponible,Asociación Rural de Chivilcoy,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=401057,http://190.105.213.89/administracion/descargatxt.php?Id=01926264
400967,1906264,Calidad de Leche,24-04-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=400967,http://190.105.213.89/administracion/descargatxt.php?Id=01906264
400561,1798264,Calidad de Leche,17-04-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=400561,http://190.105.213.89/administracion/descargatxt.php?Id=01798264
400507,1748264,Calidad de Leche,15-04-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=400507,http://190.105.213.89/administracion/descargatxt.php?Id=01748264
400027,1629264,Calidad de Leche,08-04-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=400027,http://190.105.213.89/administracion/descargatxt.php?Id=01629264
399767,1542264,Calidad de Leche,01-04-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=399767,http://190.105.213.89/administracion/descargatxt.php?Id=01542264
399309,1427264,Calidad de Leche,25-03-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=399309,http://190.105.213.89/administracion/descargatxt.php?Id=01427264
399058,1365264,Calidad de Leche,20-03-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=399058,http://190.105.213.89/administracion/descargatxt.php?Id=01365264
398573,1239264,Calidad de Leche,13-03-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=398573,http://190.105.213.89/administracion/descargatxt.php?Id=01239264
397911,1049264,Calidad de Leche,04-03-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=397911,http://190.105.213.89/administracion/descargatxt.php?Id=01049264
397474,915264,Calidad de Leche,25-02-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=397474,http://190.105.213.89/administracion/descargatxt.php?Id=00915264
397212,848264,Calidad de Leche,20-02-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=397212,http://190.105.213.89/administracion/descargatxt.php?Id=00848264
396735,690264,Calidad de Leche,11-02-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=396735,http://190.105.213.89/administracion/descargatxt.php?Id=00690264
396496,618264,Calidad de Leche,06-02-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=396496,http://190.105.213.89/administracion/descargatxt.php?Id=00618264
395941,466264,Calidad de Leche,28-01-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=395941,http://190.105.213.89/administracion/descargatxt.php?Id=00466264
395508,309264,Calidad de Leche,21-01-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=395508,http://190.105.213.89/administracion/descargatxt.php?Id=00309264
395089,184264,Calidad de Leche,14-01-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=395089,http://190.105.213.89/administracion/descargatxt.php?Id=00184264
394528,29264,Calidad de Leche,05-01-2026,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=394528,http://190.105.213.89/administracion/descargatxt.php?Id=00029264
394298,6041254,Calidad de Leche,29-12-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=394298,http://190.105.213.89/administracion/descargatxt.php?Id=06041254
393916,5954254,Calidad de Leche,22-12-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=393916,http://190.105.213.89/administracion/descargatxt.php?Id=05954254
393553,5875254,Calidad de Leche,17-12-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=393553,http://190.105.213.89/administracion/descargatxt.php?Id=05875254
393099,5735254,Calidad de Leche,10-12-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=393099,http://190.105.213.89/administracion/descargatxt.php?Id=05735254
392885,5677254,Calidad de Leche,05-12-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=392885,http://190.105.213.89/administracion/descargatxt.php?Id=05677254
392425,5533254,Calidad de Leche,28-11-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=392425,http://190.105.213.89/administracion/descargatxt.php?Id=05533254
392185,5478254,Calidad de Leche,26-11-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=392185,http://190.105.213.89/administracion/descargatxt.php?Id=05478254
391695,5374254,Calidad de Leche,19-11-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=391695,http://190.105.213.89/administracion/descargatxt.php?Id=05374254
391389,5315254,Calidad de Leche,14-11-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=391389,http://190.105.213.89/administracion/descargatxt.php?Id=05315254
390904,5161254,Calidad de Leche,07-11-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=390904,http://190.105.213.89/administracion/descargatxt.php?Id=05161254
390403,5050254,Calidad de Leche,31-10-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=390403,http://190.105.213.89/administracion/descargatxt.php?Id=05050254
389725,4889254,Calidad de Leche,22-10-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=389725,http://190.105.213.89/administracion/descargatxt.php?Id=04889254
389457,4824254,Calidad de Leche,17-10-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=389457,http://190.105.213.89/administracion/descargatxt.php?Id=04824254
388718,4621254,Calidad de Leche,08-10-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=388718,http://190.105.213.89/administracion/descargatxt.php?Id=04621254
388161,4495254,Calidad de Leche,01-10-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=388161,http://190.105.213.89/administracion/descargatxt.php?Id=04495254
387744,4372254,Calidad de Leche,24-09-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=387744,http://190.105.213.89/administracion/descargatxt.php?Id=04372254
387095,4264254,Calidad de Leche,17-09-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=387095,http://190.105.213.89/administracion/descargatxt.php?Id=04264254
386580,4117254,Calidad de Leche,10-09-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=386580,http://190.105.213.89/administracion/descargatxt.php?Id=04117254
386188,4008254,Calidad de Leche,05-09-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=386188,http://190.105.213.89/administracion/descargatxt.php?Id=04008254
386186,4006254,Calidad de Leche,05-09-2025,Disponible,Asociación Rural de Chivilcoy,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=386186,http://190.105.213.89/administracion/descargatxt.php?Id=04006254
385485,3847254,Calidad de Leche,27-08-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=385485,http://190.105.213.89/administracion/descargatxt.php?Id=03847254
384937,3711254,Calidad de Leche,20-08-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=384937,http://190.105.213.89/administracion/descargatxt.php?Id=03711254
384484,3603254,Calidad de Leche,13-08-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=384484,http://190.105.213.89/administracion/descargatxt.php?Id=03603254
383939,3461254,Calidad de Leche,06-08-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=383939,http://190.105.213.89/administracion/descargatxt.php?Id=03461254
383451,3346254,Calidad de Leche,30-07-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=383451,http://190.105.213.89/administracion/descargatxt.php?Id=03346254
383024,3226254,Calidad de Leche,23-07-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=383024,http://190.105.213.89/administracion/descargatxt.php?Id=03226254
382595,3114254,Calidad de Leche,16-07-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=382595,http://190.105.213.89/administracion/descargatxt.php?Id=03114254
382270,3046254,Calidad de Leche,11-07-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=382270,http://190.105.213.89/administracion/descargatxt.php?Id=03046254
381592,2878254,Calidad de Leche,02-07-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=381592,http://190.105.213.89/administracion/descargatxt.php?Id=02878254
381355,2826254,Calidad de Leche,27-06-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=381355,http://190.105.213.89/administracion/descargatxt.php?Id=02826254
380643,2667254,Calidad de Leche,18-06-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=380643,http://190.105.213.89/administracion/descargatxt.php?Id=02667254
380181,2571254,Calidad de Leche,11-06-2025,Disponible,Asociación Rural de Chivilcoy,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=380181,http://190.105.213.89/administracion/descargatxt.php?Id=02571254
380180,2570254,Calidad de Leche,11-06-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=380180,http://190.105.213.89/administracion/descargatxt.php?Id=02570254
379663,2443254,Calidad de Leche,04-06-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=379663,http://190.105.213.89/administracion/descargatxt.php?Id=02443254
379298,2383254,Calidad de Leche,30-05-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=379298,http://190.105.213.89/administracion/descargatxt.php?Id=02383254
378580,2241254,Calidad de Leche,21-05-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=378580,http://190.105.213.89/administracion/descargatxt.php?Id=02241254
378087,2138254,Calidad de Leche,14-05-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=378087,http://190.105.213.89/administracion/descargatxt.php?Id=02138254
377798,2063254,Calidad de Leche,09-05-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=377798,http://190.105.213.89/administracion/descargatxt.php?Id=02063254
377596,2024254,Calidad de Leche,07-05-2025,Disponible,Asociación Rural de Chivilcoy,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=377596,http://190.105.213.89/administracion/descargatxt.php?Id=02024254
377217,1939254,Calidad de Leche,30-04-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=377217,http://190.105.213.89/administracion/descargatxt.php?Id=01939254
376655,1821254,Calidad de Leche,23-04-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=376655,http://190.105.213.89/administracion/descargatxt.php?Id=01821254
376268,1715254,Calidad de Leche,16-04-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=376268,http://190.105.213.89/administracion/descargatxt.php?Id=01715254
375971,1626254,Calidad de Leche,11-04-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=375971,http://190.105.213.89/administracion/descargatxt.php?Id=01626254
375441,1499254,Calidad de Leche,04-04-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=375441,http://190.105.213.89/administracion/descargatxt.php?Id=01499254
374679,1359254,Calidad de Leche,26-03-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=374679,http://190.105.213.89/administracion/descargatxt.php?Id=01359254
374168,1254254,Calidad de Leche,19-03-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=374168,http://190.105.213.89/administracion/descargatxt.php?Id=01254254
373677,1122254,Calidad de Leche,12-03-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=373677,http://190.105.213.89/administracion/descargatxt.php?Id=01122254
373161,1001254,Calidad de Leche,05-03-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=373161,http://190.105.213.89/administracion/descargatxt.php?Id=01001254
373088,975254,Calidad de Leche,01-03-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=373088,http://190.105.213.89/administracion/descargatxt.php?Id=00975254
373027,972254,Calidad de Leche,28-02-2025,Disponible,Asociación Rural de Chivilcoy,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=373027,http://190.105.213.89/administracion/descargatxt.php?Id=00972254
372392,824254,Calidad de Leche,19-02-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=372392,http://190.105.213.89/administracion/descargatxt.php?Id=00824254
371934,685254,Calidad de Leche,12-02-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=371934,http://190.105.213.89/administracion/descargatxt.php?Id=00685254
371658,604254,Calidad de Leche,07-02-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=371658,http://190.105.213.89/administracion/descargatxt.php?Id=00604254
371062,458254,Calidad de Leche,29-01-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=371062,http://190.105.213.89/administracion/descargatxt.php?Id=00458254
370640,325254,Calidad de Leche,22-01-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=370640,http://190.105.213.89/administracion/descargatxt.php?Id=00325254
370467,263254,Calidad de Leche,18-01-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=370467,http://190.105.213.89/administracion/descargatxt.php?Id=00263254
370115,168254,Calidad de Leche,13-01-2025,Disponible,Asociación Rural de Chivilcoy,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=370115,http://190.105.213.89/administracion/descargatxt.php?Id=00168254
369827,96254,Calidad de Leche,08-01-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=369827,http://190.105.213.89/administracion/descargatxt.php?Id=00096254
369578,36254,Calidad de Leche,03-01-2025,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=369578,http://190.105.213.89/administracion/descargatxt.php?Id=00036254
369303,5778244,Calidad de Leche,27-12-2024,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=369303,http://190.105.213.89/administracion/descargatxt.php?Id=05778244
368835,5659244,Calidad de Leche,18-12-2024,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=368835,http://190.105.213.89/administracion/descargatxt.php?Id=05659244
368308,5523244,Calidad de Leche,11-12-2024,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=368308,http://190.105.213.89/administracion/descargatxt.php?Id=05523244
367998,5434244,Calidad de Leche,06-12-2024,Disponible,,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=367998,http://190.105.213.89/administracion/descargatxt.php?Id=05434244
367997,5433244,Calidad de Leche,06-12-2024,Disponible,Asociación Rural de Chivilcoy,Divita Marina,http://190.105.213.89/administracion/gpdf.php?Id=367997,http://190.105.213.89/administracion/descargatxt.php?Id=05433244